[Thread-1][epoch 67]	Val Loss: 69.98316001659651
[Thread-4][epoch 70]	Val Loss: 72.32000230571877
[Thread-2][epoch 68]	Val Loss: 62.23569300155102
[Thread-3][epoch 68]	Val Loss: 70.33659525276556
[Thread-2][epoch 69]	Val Loss: 63.33799603381962
[Thread-0][epoch 68]	Val Loss: 72.42366411620829
[Thread-4][epoch 71]	Val Loss: 69.60954196994956
[Thread-3][epoch 69]	Val Loss: 66.56753551915578
[Thread-1][epoch 68]	Val Loss: 71.7086038717152
[Thread-2][epoch 70]	Val Loss: 64.64858489980315
[Thread-4][epoch 72]	Val Loss: 71.10243831061656
[Thread-3][epoch 70]	Val Loss: 66.70059636164223
[Thread-0][epoch 69]	Val Loss: 70.73026979622199
[Thread-1][epoch 69]	Val Loss: 69.2032490306235
[Thread-2][epoch 71]	Val Loss: 65.14297341452784
[Thread-3][epoch 71]	Val Loss: 68.71281608956022
[Thread-4][epoch 73]	Val Loss: 73.00137215695963
[Thread-1][epoch 70]	Val Loss: 70.85337215667694
[Thread-0][epoch 70]	Val Loss: 72.26534869140305
[Thread-3][epoch 72]	Val Loss: 69.46704185250901
[Thread-2][epoch 72]	Val Loss: 60.00000139008302
[Thread-4][epoch 74]	Val Loss: 74.7347022193435
[Thread-1][epoch 71]	Val Loss: 71.9234123160867
[Thread-3][epoch 73]	Val Loss: 71.13546636653983
[Thread-0][epoch 71]	Val Loss: 70.02559544759418
[Thread-2][epoch 73]	Val Loss: 56.316744562903324
[Thread-4][epoch 75]	Val Loss: 76.08529123750976
[Thread-1][epoch 72]	Val Loss: 73.63526289254881
[Thread-3][epoch 74]	Val Loss: 68.4056690449331
[Thread-0][epoch 72]	Val Loss: 69.13743792191546
[Thread-4][epoch 76]	Val Loss: 77.78943882425882
[Thread-2][epoch 74]	Val Loss: 55.636150722464386
[Thread-3][epoch 75]	Val Loss: 69.37934915150412
[Thread-4][epoch 77]	Val Loss: 73.37934069634854
[Thread-0][epoch 73]	Val Loss: 71.01311830028236
[Thread-1][epoch 73]	Val Loss: 70.89320846673412
[Thread-2][epoch 75]	Val Loss: 56.66902133356393
[Thread-3][epoch 76]	Val Loss: 67.43564326093957
[Thread-0][epoch 74]	Val Loss: 71.61222428889009
[Thread-1][epoch 74]	Val Loss: 69.16177596538499
[Thread-4][epoch 78]	Val Loss: 74.86468748908469
[Thread-2][epoch 76]	Val Loss: 55.45034040724179
[Thread-0][epoch 75]	Val Loss: 72.72601222847106
[Thread-3][epoch 77]	Val Loss: 65.22789808359838
[Thread-1][epoch 75]	Val Loss: 66.67626315090727
[Thread-4][epoch 79]	Val Loss: 76.52964775593718
[Thread-2][epoch 77]	Val Loss: 54.50224685133917
[Thread-0][epoch 76]	Val Loss: 74.29320290215075
[Thread-4][epoch 80]	Val Loss: 77.66754050958956
[Thread-3][epoch 78]	Val Loss: 63.023415160446895
[Thread-1][epoch 76]	Val Loss: 66.4440334284402
[Thread-2][epoch 78]	Val Loss: 55.75311374852672
[Thread-0][epoch 77]	Val Loss: 69.93468241504387
[Thread-4][epoch 81]	Val Loss: 76.55120698019074
[Thread-3][epoch 79]	Val Loss: 64.47472057193782
[Thread-1][epoch 77]	Val Loss: 68.05763501698685
[Thread-2][epoch 79]	Val Loss: 54.05300090340861
[Thread-0][epoch 78]	Val Loss: 71.40389820569021
[Thread-4][epoch 82]	Val Loss: 77.68812105962246
[Thread-3][epoch 80]	Val Loss: 65.97534399714341
[Thread-0][epoch 79]	Val Loss: 71.52511479121361
[Thread-1][epoch 78]	Val Loss: 68.10809304415137
[Thread-2][epoch 80]	Val Loss: 53.19292508151659
[Thread-4][epoch 83]	Val Loss: 80.13185724323729
[Thread-0][epoch 80]	Val Loss: 66.931005153168
[Thread-1][epoch 79]	Val Loss: 69.3640507834474
[Thread-3][epoch 81]	Val Loss: 63.912939600025915
[Thread-2][epoch 81]	Val Loss: 54.57642637937439
[Thread-4][epoch 84]	Val Loss: 81.478201548613
[Thread-0][epoch 81]	Val Loss: 68.68281070404306
[Thread-3][epoch 82]	Val Loss: 64.8780752410254
[Thread-1][epoch 80]	Val Loss: 67.0326254457169
[Thread-2][epoch 82]	Val Loss: 52.99057096601042
[Thread-3][epoch 83]	Val Loss: 66.1624289592088
[Thread-4][epoch 85]	Val Loss: 82.40065747447476
[Thread-2][epoch 83]	Val Loss: 53.92912292875001
[Thread-1][epoch 81]	Val Loss: 65.7879478626259
[Thread-0][epoch 82]	Val Loss: 70.2486038591813
[Thread-3][epoch 84]	Val Loss: 66.43556552575878
[Thread-4][epoch 86]	Val Loss: 77.49795946467785
[Thread-1][epoch 82]	Val Loss: 67.30896677096348
[Thread-0][epoch 83]	Val Loss: 68.90376674907209
[Thread-4][epoch 87]	Val Loss: 78.88639380063832
[Thread-2][epoch 84]	Val Loss: 52.57219301798526
[Thread-3][epoch 85]	Val Loss: 68.09568233876469
[Thread-2][epoch 85]	Val Loss: 51.196741773582666
[Thread-4][epoch 88]	Val Loss: 80.6238447620053
[Thread-3][epoch 86]	Val Loss: 65.95506473530286
[Thread-0][epoch 84]	Val Loss: 70.23745819722826
[Thread-4][epoch 89]	Val Loss: 81.95461102406709
[Thread-1][epoch 83]	Val Loss: 65.7432068742361
[Thread-3][epoch 87]	Val Loss: 66.84197826815357
[Thread-4][epoch 90]	Val Loss: 79.48452135057818
[Thread-0][epoch 85]	Val Loss: 71.89371225619375
[Thread-2][epoch 86]	Val Loss: 52.34922358192441
[Thread-1][epoch 84]	Val Loss: 66.44282687878938
[Thread-0][epoch 86]	Val Loss: 71.21101009040113
[Thread-3][epoch 88]	Val Loss: 67.62352740212468
